,Pressure (PSI),	Welding Time (ms),	Angle (Deg),	Force (N),	Current (A),	Thickness A (mm),	Thickness B (mm),	PullTest (N),	NuggetDiameter (mm)
1928,0.41666666666666663,0.6153846153846154,1.0,0.754225261256612,0.6650908400428311,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1929,0.41666666666666663,0.6153846153846154,1.0,0.7540102352384639,0.7886219445113273,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1930,0.41666666666666663,0.6153846153846154,1.0,0.7536661936094268,0.7958707469809706,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1931,0.41666666666666663,0.6153846153846154,1.0,0.75327914677676,0.687761210391451,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1932,0.41666666666666663,0.6153846153846154,1.0,0.7529351051477229,0.6895327918753902,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1933,0.41666666666666663,0.6153846153846154,1.0,0.752806089536834,0.7733041267082058,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1934,0.41666666666666663,0.6153846153846154,1.0,0.7526770739259451,0.8258486462572648,4.3311570605880775e-05,4.276265774669306e-05,0.41115053910195176,0.6489361702127661
1935,0.41666666666666663,0.6153846153846154,1.0,0.7525910635186859,0.4579254291435921,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1936,0.41666666666666663,0.6153846153846154,1.0,0.7522900270932784,0.5890616099271204,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1937,0.41666666666666663,0.6153846153846154,1.0,0.7519029802606116,0.6545925068954649,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1938,0.41666666666666663,0.6153846153846154,1.0,0.7516019438352041,0.7089223107686705,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1939,0.41666666666666663,0.6153846153846154,1.0,0.7512148970025374,0.823476097352807,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1940,0.41666666666666663,0.6153846153846154,1.0,0.7507848449662409,0.6860816336917605,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1941,0.41666666666666663,0.6153846153846154,1.0,0.7502257773190557,0.687761210391451,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1942,0.41666666666666663,0.6153846153846154,1.0,0.7497957252827592,0.7071996679997572,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1943,0.41666666666666663,0.6153846153846154,1.0,0.7494946888573517,0.8333323545590329,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1944,0.41666666666666663,0.6153846153846154,1.0,0.7492796628392036,0.7025857259471109,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
1945,0.41666666666666663,0.6153846153846154,1.0,0.7493656732464629,0.69949084160887,2.7270248159258362e-05,4.59302620242259e-05,0.41360720622355673,0.6914893617021278
