,용접 가압력,전류,전압,통전시간
268,0.005327245,0.000572328,0.002505742,0.000460829
269,0.005327245,0.000572328,0.002505742,0.000921659
270,0.005327245,0.000500787,0.002505742,0.000460829
271,0.005327245,0.000500787,0.002505742,0.001382488
272,0.005327245,0.000429246,0.002505742,0.000921659
273,0.005327245,0.000429246,0.002505742,0.000921659
274,0.005242686,0.000572328,0.002401336,0.000921659
275,0.005242686,0.000572328,0.002401336,0.000921659
276,0.005242686,0.000643869,0.002505742,0.000921659
277,0.005242686,0.000643869,0.002505742,0.000460829
278,0.005327245,0.00071541,0.002505742,0.000921659
279,0.005327245,0.00071541,0.002505742,0.000921659
280,0.005242686,0.000572328,0.002610148,0.000460829
281,0.005242686,0.000572328,0.002610148,0.000921659
282,0.005327245,0.000643869,0.002610148,0
283,0.005327245,0.000643869,0.002610148,0.000460829
284,0.005242686,0.000930033,0.002610148,0.000921659
285,0.005242686,0.000930033,0.002610148,0.000921659
286,0.005158126,0.000572328,0.002505742,0.000921659
287,0.005158126,0.000572328,0.002505742,0.001382488
288,0.005158126,0.00071541,0.002401336,0.000460829
289,0.005158126,0.00071541,0.002401336,0.000460829
290,0.005158126,0.000286164,0.002505742,0.000921659
291,0.005158126,0.000286164,0.002505742,0.000921659
292,0.005073567,0.000500787,0.002505742,0.000921659
293,0.005073567,0.000500787,0.002505742,0.000921659
294,0.005327245,0.000214623,0.002505742,0.000921659
295,0.005327245,0.000214623,0.002505742,0.000921659
296,0.005327245,0.000572328,0.002610148,0.000921659
297,0.005327245,0.000572328,0.002610148,0.000460829
298,0.005158126,7.15E-05,0.002610148,0.000460829
299,0.005158126,7.15E-05,0.002610148,0.000460829
300,0.005411804,0.000214623,0.002610148,0.000460829
301,0.005411804,0.000214623,0.002610148,0.000460829
302,0.005158126,0.000286164,0.002505742,0.000921659
303,0.005158126,0.000286164,0.002505742,0.001382488
304,0.004989007,0.000429246,0.002505742,0.000460829
305,0.004989007,0.000429246,0.002505742,0.000921659
306,0.005242686,0.000357705,0.002505742,0.000460829
307,0.005242686,0.000357705,0.002505742,0.000921659
308,0.005158126,0.000143082,0.002505742,0.001382488
309,0.005158126,0.000143082,0.002505742,0.000460829
310,0.005242686,0.000286164,0.002505742,0.000921659
311,0.005242686,0.000286164,0.002505742,0.000921659
312,0.005242686,0.000214623,0.002610148,0.000921659
313,0.005242686,0.000214623,0.002610148,0.000460829
314,0.005411804,0.000143082,0.002610148,0.000921659
315,0.005411804,0.000143082,0.002610148,0.000921659
316,0.005411804,0.000500787,0.002610148,0.000460829
317,0.005411804,0.000500787,0.002610148,0.000921659
318,0.005073567,0.000429246,0.002610148,0
319,0.005073567,0.000429246,0.002610148,0.000460829
320,0.005158126,0.000643869,0.002505742,0.000921659
321,0.005158126,0.000643869,0.002505742,0.000921659
322,0.004989007,0.000572328,0.002401336,0.000921659
323,0.004989007,0.000572328,0.002401336,0.001382488
324,0.005242686,0.000500787,0.002505742,0.000460829
325,0.005242686,0.000500787,0.002505742,0.000460829
326,0.005242686,0.000858492,0.002505742,0.000921659
327,0.005242686,0.000858492,0.002505742,0.000921659
328,0.005158126,0.00071541,0.002610148,0.000921659
329,0.005158126,0.00071541,0.002610148,0.000921659
330,0.005411804,0.000286164,0.002610148,0.000921659
331,0.005411804,0.000286164,0.002610148,0.000921659
332,0.005327245,0.000500787,0.002610148,0.000921659
333,0.005327245,0.000500787,0.002610148,0.000460829
334,0.005327245,0.000357705,0.002610148,0.000460829
335,0.005327245,0.000357705,0.002610148,0.000460829
336,0.004819888,0.000572328,0.002505742,0.000460829
337,0.004819888,0.000572328,0.002505742,0.000460829
338,0.005158126,0.000500787,0.002505742,0.000921659
339,0.005158126,0.000500787,0.002505742,0.001382488
340,0.005073567,0.000429246,0.002505742,0.000460829
341,0.005073567,0.000429246,0.002505742,0.000921659
342,0.005158126,0.000500787,0.002505742,0.000460829
343,0.005158126,0.000500787,0.002505742,0.000921659
344,0.005411804,0.000429246,0.002505742,0.001382488
345,0.005411804,0.000429246,0.002505742,0.000460829
346,0.005242686,0.000429246,0.002610148,0.000921659
347,0.005242686,0.000429246,0.002610148,0.000921659
348,0.005242686,0.00071541,0.002505742,0.000921659
349,0.005242686,0.00071541,0.002505742,0.000921659
350,0.005327245,0.000357705,0.002505742,0.000921659
351,0.005327245,0.000357705,0.002505742,0.000921659
352,0.005242686,0.000500787,0.002505742,0.000921659
353,0.005242686,0.000500787,0.002505742,0.000460829
354,0.005073567,0.000500787,0.002505742,0.000460829
355,0.005073567,0.000500787,0.002505742,0.000921659
356,0.005073567,0.000572328,0.002505742,0.000460829
357,0.005073567,0.000572328,0.002505742,0.001382488
358,0.005158126,0.000786951,0.002505742,0.000921659
359,0.005158126,0.000786951,0.002505742,0.000921659
360,0.005158126,0.000643869,0.002505742,0.000921659
361,0.005158126,0.000643869,0.002505742,0.000921659
362,0.005242686,0.000500787,0.002610148,0.000921659
363,0.005242686,0.000500787,0.002610148,0.000921659
364,0.005327245,0.000214623,0.002610148,0.000921659
365,0.005327245,0.000214623,0.002610148,0.000921659
